单词,美音,definition,简明释义,精选短语
I,/ aɪ /,the person who is speaking or writing,pron. 我 n. 碘元素；字母I abbr. 不及物动词 (intransitive verb),
do,/ duː; də /,to act; to perform actions,v. 做，干，办（某事）；行动，表现 aux. 与动词连用构成否定句和疑问句；用于构成疑问尾句 n. 聚会，社交活动；要求，规定; C 大调音阶中的第一音 n. （Do）多（人名Dorothea和Dorothy的昵称）,do a: [口语]仿效，模仿，学…的样子 | do well: 做得好；进展好 | do so: 如此做
as,/ æz; əz /,a word used to compare two equal things,prep. 作为；以……身份 adv. （程度或数量上）同样，一样；例如，诸如 conj. 像……一样；（说明某事应完成的时间或发生的频率）,as well: 也；同样地；还不如 | as well as: 也；和…一样；不但…而且 | as one: 一致的
at,/ æt; ət /,in the place where something is,prep. 在（表示存在或出现的地点、场所、位置、空间）；在……岁时 n. 阿特（老挝货币基本单位att）；砹（极不稳定放射性元素） abbr. 密封的（airtight）；大气（atmosphere）,at all: （否定句）根本；究竟 | be in at: 在场，参与 | at it again: [口语]争吵；重复负面消极的行为(此语亦可含有与性行为有关的意思)
she,/ ʃiː; ʃi /,female person or animal mentioned before,pron. 她（主格）；它（用来指雌性动物或国家、船舶、地球、月亮等） n. 女人；雌性动物 n. （She）人名；（中）佘（普通话·威妥玛）,
but,/ bʌt; bət /,"used before you say something different, opposite",conj. 而，相反；（用于表示歉意）但是 prep. 除了，除……外 adv. 仅仅，只是 n. 借口，托词 其他 【名】 （But）（俄、罗）布特，（越）笔（人名）,but now: 刚刚 | but for: conj. 要不是；如果没有 | but what: 而不…；但是…
from,/ frʌm; frəm /,"starting at a particular place, time, or level",prep. 从……起；从……开始 n. （From）（美）弗罗姆（人名）,out from: 从…中迸出 | from then on: 从那时起 | go from: 从…处出发
by,/ baɪ /,near; with,prep. 由，被；通过，凭借…… adv. 经过,by oneself: 独自地，单独 | by and large: 大体上，总的来说 | by and by: 不久以后
will,/ wɪl /,used with verbs to express the future,v. 将，将要；请（请求某人做某事） n. 意志，决心，毅力；意愿，心愿,will be: 将；将来时；终归会来 | we will: 歌曲名 | there will be: 将有
or,/ ɔːr /,"used to link alternatives, to introduce another choice",conj. （用以引出另一种可能性）或，或者，还是；（用于否定动词后）也不 n. （电子）（逻辑电路的）或（OR）；（纹章）金色，黄色 abbr. 俄勒冈州（Oregon）；手术室（operating room） 其他 【名】 （Or）（中）柯，（柬）奥，（土、匈、土库、阿塞、瑞典）奥尔（人名）,
say,/ seɪ /,to use words to tell a message,vt. 说，讲；宣称，说明 n. 发言权，决定权 int. <美，非正式> （吃惊或吸引注意力）哎呀，喂 其他 【名】 （Say）（土）萨伊，（法、老、柬）赛，（英）塞伊，（匈、罗）绍伊（人名）,say to oneself: 心里想；自言自语 | that is to say: 就是；即；换言之 | they say: 据说；人们说
go,/ ɡoʊ /,to move or travel to another place,v. 去，走；（尤指与某人）去（某处或出席某项活动） n. （游戏或活动中）轮到的机会；尝试 adj. <非正式>运行正常的,going on: 进行，发生 | go home: 回家 | let go: 放开；释放；发射
so,/ soʊ /,for that reason,adv. 如此，这么；确是如此 conj. 所以；因此 pron. 这样 n. （So）人名；（柬）索,so on: 等等 | so as: 只要 | so much: 这么；非常；达到这种程度
all,/ ɔːl /,completely; totally,det. 全部；每一个 adj. 全部的；每一个的 adv. 完全地；各方，各选手 pron. 所有，全部；唯一 n. 全部，所有 其他 【名】 （All）（英、美、巴、加）奥尔（人名）,all the: ◎惟一的，仅有的 | all of: adv. 不少于；实足 | in all: 总共，合计
if,/ ɪf /,introducing a condition for something to happen,conj. （表条件）如果；（表假设）要是，假如 n. 条件，设想；不确定的情况,as if: 犹如，好似 | if any: 若有的话；即便要 | if so: 如果是这样的话；要是这样
one,/ wʌn /,number 1,num. 一；一个 pron. 一个人；任何人，人们（表泛指） det. 一个（强调某人或某事）；一个（用于比较相似的人或物） adj. 唯一的；一的 n. 一；一美元纸币 n. （One）（印、马、美）温（人名）,one of: 其中之一，之一 | one day: （将来）有一天；总有一天；（过去）某一天 | in one: adv. 成为一体；[口]只试一次
would,/ wʊd /,"modal verb used to indicate possibility, request, etc.",v. 将，将会（will 的过去式，用于转述）；会......（用于提出意见或征求建议时）,would like: 愿意；想要 | would have: （要不…）就会；应该 | would you like: 你想不想；您是否希望
about,/ əˈbaʊt /,of (a subject); concerning,adv. 大约；几乎 prep. 关于，对于；目的是 adj. 现成的，能得到的；即将（做……）的，快要（发生……）的 （be about to do sth.） 其他 【名】 （About）（法）艾保特（姓氏）,how about: 你认为…怎样 | what about: 怎么样；（对于）…怎么样 | all about: 到处，各处；关于…的一切
can,/ kæn; kən /,to be able to; have the skill to; have the time to,v. （表示有能力做或能够发生）能，会；（表示可能性）可以，能 n. 罐，听；（装液体、垃圾等带盖的）金属容器，塑料容器 其他 【名】 （Can）（美）卡恩（人名）,can be: 可能；可以是 | we can: 我们可以 | can do: 能做到；做得到
which,/ wɪtʃ /,question word to ask about a person's choice,pron. 哪一个，哪一些；（指明事物）……的那个，……的那些 det. 哪一个，哪一些；（指明事物）……的那个，……的那些 adj. 哪一个，哪一些；无论哪个,which one: 哪一个 | which is which: 哪一个是哪一个
there,/ ðer; ðər /,"in that place or position, at that location",adv. 在那里；在那边 int. 你瞧 n. 那个地方,out there: 到战场，在那里 | over there: adv. 在那里 | go there: 去那里
know,/ noʊ /,to have knowledge of things in your mind,v. 知道；认识到，懂得,know how: 秘诀；专门技术 | don't know: 我想不明白 | know about: 了解，知道……的情况；知道关于
more,/ mɔːr /,"greater in amount, number, or size",det. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；另外的，附加的 pron. （数、量等）更多的，更大的（much、a lot of 和 many 的比较级）；多了的部分 adv. 更；（程度上）更强，更多 adj. 更多的，更大的；额外的 其他 【名】 【名】（More）人名；（英、法）莫尔,more than: 多于；超出；比……多 | more and more: 越来越多 | and more: 更多
get,/ ɡet /,"to obtain, receive, or be given something",v. 收到，接到；获得，得到 n. <英，非正式>（说话人）讨厌（或鄙夷）的人；<旧>（动物的）后代,get one's: ◎[美国口语]得到应有的惩罚 | get something on someone: [口语]抓住某人的把柄 | get there: 到达那里；取得成功，实现目标
who,/ huː /,"what or which person or people, to ask about, talking about",pron. 谁；什么人,as who: [古语]像是…的人 | who's who: 名人（总称）；名人录 | who is who: 谁是谁；名人录
like,/ laɪk /,to find something pleasing; to prefer something,prep. 像，如同；符合……的方式 v. 喜欢，喜爱；希望，想要 conj. 像……一样，如同；好像，似乎 n. 喜好，爱好（常复数）；类似或同类的人或物 adj. 类似的，相似的；（画像，图像）逼真的，像的 adv. （非正式口语，思考说下句话、解释或举例时用）大概，可能；（非正式口语）我说，他说，她说 其他 【名】 （Like）（美、俄、印、英、巴）莉凯（人名）,look like: 看起来像… | feel like: 想要；感到好似 | something like: 有点像；大约；差不多
when,/ wen /,word you use to ask about the time or day,adv. 什么时候；什么情况下 pron. 什么时候；何时 conj. 在……时候；在……之后 n. 时间，时候；日期,
think,/ θɪŋk /,"to have an idea, opinion, or belief about something",v. 认为，以为；明白（用于问句表气愤、吃惊） n. 想，思索，思考 adj. 思想的,"think something of oneself: 自命不凡,自以为了不起[亦作 think oneself something] | think of: 记起，想起；考虑；想像；关心 | do you think: 你认为"
make,/ meɪk /,to create something by putting things together,v. 制造；制定，拟定 n. （机器、设备等的）品牌，型号；结构，构造 其他 【名】 （Make）（塞、南非）马克（人名）,make sure: 确信；证实 | make up: 弥补；组成；化妆；整理 | make full use of: 充分利用
time,/ taɪm /,"something measured in minutes, hours, days, etc.",n. （以分钟、小时、天等计量的）时间；（钟表上的）时刻 v. 为……安排时间；把握（击球、射门等）的时机 conj. 乘以（times） adj. 定时的，定期的，分期的 其他 【名】 （Time）（俄）季梅，（罗）蒂梅，（英）泰姆（人名）,at the same time: 同时；然而 | same time: 同时 | in time: 及时；适时
see,/ siː /,to use your eyes to look at something,v. 看见，看到；有视力，看得见 n. 主教教区 其他 【名】  （See）（英）西伊，（柬）塞，（德）泽（人名）,see something in someone: 看中(或喜欢)某人的某个方面 | see things: 发生幻觉；见神见鬼 | see in: 带领……进去
what,/ wʌt /,asking for information about someone or something,det. 什么；（指数量的全部）所……的 pron. 什么；多么 adj. 什么，什么样的；多么（好或坏）的 adv. 到什么程度，在哪一方面；哦（用于暂停下来思考） int. （表示惊讶、气愤、怀疑、喜欢、厌恶等）什么，真的吗 conj. （用于动词和形容词后引导关系从句）什么；（用于强调句型句首）所……的（是……）,but what: 而不…；但是… | what to do: 做什么；该做什么 | what time: 几点；什么时间
up,/ ʌp /,move higher; raise,adv. 向上，由低向高；到楼上 prep. 往较高处，向较高处；沿着……，顺着…… adj. 在高处；（向上）开 v. 使…更高，提高；举起，抬起 n. （某一阶段的）成功，繁荣；<非正式>走运 int. （用于命令士兵或动物）起来！起立！,up with: 拿起，举起；拥护 | up in: [口]精通 | up and down: 上上下下；到处；前前后后；来来往往
some,/ sʌm; səm /,used to refer to a person or thing that is not known,det. 若干，一些；某个，某种 pron. 有些，一部分 adv. <美>有些，稍微；大约 其他 【名】 （Some）（美、印）索梅（人名）,some of: 一些 | some of them: 他们中的一些 | some one: 有人；某人
other,/ ˈʌðər /,something else; not the first one,adj. （表示与已知的人或事物不同）别的，另外的；（表示在与已知的人或事物同一类中）别的，另外的 pron. （表示与已知的人或事物不同）另外；（表示在与已知的人或事物同一类中）另外 v. 将……看作异类，以异类对待,each other: 彼此，互相 | on the other: 另一方面 | on the other hand: 另一方面
out,/ aʊt /,away from the inside or center,adv. 出现；向外 prep. 从……里面出去，离开 adj. 熄灭的；盛开的 v. 击倒，击晕；揭露（某人）是同性恋 n. 出路，脱身办法；（棒球）使球员出局的办法,out of: 由于；缺乏；自…离开；用…（材料） | out for: 寻求；[口]力图要；决心要获得 | go out: 出去；熄灭；过时
good,/ ɡʊd /,excellent; high quality,adj. 优良的；能干的，擅长的 n. 善，正义；好事 adv. <非正式>好地；<美>彻底地，完全地 其他 【名】 （Good）（英）古德，（瑞典）戈德（人名）,good at: 善于 | good and: 完全，非常 | good for: 有效的；会产生；有支付…能力的
people,/ ˈpiːp(ə)l /,human beings in general; plural of person,n. 人，人类；人们，大家（the people） v. 居住在，定居于；充满，充斥着（某种类型的人）,many people: 许多人；很多人；好多人 | some people: 有些人；有人；一些人 | other people: 其他人
year,/ jɪr /,unit of time equal to 12 months,n. 年，日历年；年，一年时间,last year: 去年 | new year: 新年 | next year: 明年
take,/ teɪk /,to pick up something and go away with it,v. 携带，拿走；带去，引领 n. （一次拍摄的）镜头，场景；收入量,take some: 不大容易 | take care of oneself: 照顾自己；颐养 | take part: 参与， 参加
no,/ noʊ /,being none; not having or being,adv. 不，完全不 n. 否定的回答；（复数 noes）（投票表决中的）反对，否决 int. （用于否定的回答或陈述）不，没有；（感到惊讶）不会吧 adj. 没有；不是 det. 没有，无；不准，禁止 n. （No）（柬、越）诺（人名）,no longer: 不再 | no more: 不再 | no less than: 不少于，多达…；正如
well,/ wel /,in a good way,adv. 顺利地，令人满意地；熟练地，技术好地 adj. 健康的；令人满意的 n. 水井，油井，气井；楼梯井，电梯井道 int. （用于表示想要开口说话）嗯，好；唔，嗯，哦（表示对要说的话不确定） v. （液体）流出，涌出；（感情）涌上，涌起 其他 【名】 （Well）（英、德、荷）韦尔（人名）,as well: 也；同样地；还不如 | as well as: 也；和…一样；不但…而且 | do well: 做得好；进展好
because,"/ bɪˈkəz, bɪˈkɔːz /",for a reason,conj. （说明原因）因为，由于；（作出解释）因为,because of: adv. 因为；由于
very,/ ˈveri /,much; great in amount,adv. （用于强调形容词或副词）很，非常；极其，完全地 adj. 同一的，恰好的，正是的；（加强名词的语气）仅仅的，唯独的，甚至于 其他 【名】  （Very）（法、爱）维里（人名）,thank you very much: 非常感谢 | from the very beginning: adv. 从最初开始（首先） | at the very beginning: 最初；就在刚刚开始；在刚开始的时候；起初；在一开始
just,/ dʒʌst /,only; a short time ago,adv. 正好，恰好；正当……时 adj. 正义的，公平的；应得的，合理的 其他 【名】 （Just）（英）贾斯特，（法）朱斯特，（德、匈、波、捷、挪）尤斯特，（西）胡斯特（人名）,just like: 就像，正如 | just as: 正象 | just because: 正因为
come,/ kʌm /,to move toward someone; go with someone,v. 来；来到，到达 int. （用以鼓励或安慰）好了，得啦 n. <俚>精液，精子 其他 【名】 （Come）（英）科姆，（阿尔巴）乔梅（人名）,come true: 实现，成真；成为现实 | come from: 来自；出生于 | come back: 回来；记起；恢复原状，重新流行
could,/ kʊd; kəd /,"used as the past form of can, to show possibility",v. （礼貌地请求许可）可以，能；（礼貌地请求别人做事）能，能否 v. 能（can的过去式）,could be: 可能是；有可能 | could have: 本能够；本来也可以 | how could i: 我怎么能；我如何能够
work,/ wɜːrk /,activity you do in order to make money,n. 工作，职业；劳动，活计 v. 工作，干活儿；从事体力（或脑力）劳动 adj. 工作的，与工作有关的；适合工作时穿戴的 其他 【名】 （Work）（英、埃塞、丹、冰、美）沃克（人名）,work in: 进入；插进 | at work: 在工作；上班 | work with: 与…共事；对……有效
use,/ juːz /,"to do something with, for a task or purpose",v. 用，使用；使用（词语） n. 使用；用途，用法 其他 【名】 （Use）（德）乌泽（人名）,make use of: 使用，利用 | in use: 在使用中 | of use: 有用
than,/ ðæn; ðən /,used when comparing two things,conj. （用以引出比较的第二部分）比；（比较数量、距离等）多于 prep. （用以引出比较的第二部分）比；（比较数量、距离等）多于 n. （Than）（越）丹（人名）,than ever: 比以前 | no more than: adv. 只是；仅仅 | none other than: 不是别的而正是…
now,/ naʊ /,at the present time or moment,adv. 现在，此刻；马上，立刻 adj. 现在的；<非正式>流行的，时髦的 n. 现在，此刻 conj. 由于，既然,up to now: 到目前为止 | just now: 刚才；眼下 | for now: 目前，暂时
then,/ ðen /,at that time not now,adv. （指过去）当时，（指将来）到那时；接下来，然后 adj. 当时（任职等）的,since then: 从那时以来 | but then: 不过；然而；但另一方面 | by then: 到那时候
also,/ ˈɔːlsoʊ /,in addition; too; in a similar way,adv. 此外，而且；也，同样 conj. 另外，又 其他 【名】 （Also）（罗）阿尔索（人名）,but also: 不仅……而且…… 并且；表强调 | as also: 同样；照样 | see also: 参见；另请参阅
into,/ ˈɪntuː /,going inside something,prep. 到……里面；触及，碰撞 其他 【名】 （Into）（美）因托（人名）,go into: 进入；加入；变得；探究
only,/ ˈoʊnli /,just one; just that amount or thing; not more than,adv. 只，只有；仅在……情况下（或地方等） adj. 仅有的，唯一的；最好的，最适合的 conj. <非正式>不过，但是；<非正式>要不是，若非,only one: 只有一个；唯一 | only for: 要是没有 | only when: 只有当…才能
look,/ lʊk /,to turn your eyes in a particular direction,v. 看；寻找 n. 看；寻找，搜索 其他 【名】 （Look）（瑞典）洛克，（英）卢克（人名）,look at: v. 看；考虑；着眼于 | look for: 寻找 | look forward: 期待；盼望
want,/ wɑːnt /,to desire or wish for something; hope for a thing,v. 想要，希望；需要 n. 缺乏，缺少；贫穷，贫困,want to be: 想成为；想要成为 | do you want to: 你想要 | want to do: 想要做
give,/ ɡɪv /,to hand over or present something to someone,v. 给，交给；赠送，赠与，送给 n. 伸展性，弹性；适应（或顺应）能力，灵活性 其他 【名】 （Give）（意）吉韦（人名）,give oneself: （为...）献身 | give up: 放弃；交出 | give out: 分发，发出；公布，发表；用尽，精疲力竭
first,/ fɜːrst /,coming before all others in time or place,det. 第一位的，最先的；首（次）的 adv. 第一，最初；起初 n. 第一个人（或事物)；前所未有的事情 pron. 第一次 其他 【名】 （First）（美）菲尔斯特（人名）,first time: 第一次；第一时间 | at first: 起先，首先；最初 | quality first: 质量第一
new,/ nuː /,"not old, recently born, built, or made",adj. 新出现的，新兴的；新买的 adv. （用于构成复合词）新的，新近的 n. 新东西，新事物（the new） 其他 【名】 （New）（英）纽（人名）,new type: 新型 | new year: 新年 | new york: 纽约
way,/ weɪ /,how something is done,n. 方法，手段；习俗，习惯，行为方式 adv. 大大地，远远地；<美>非常，很 adj. 途中的 其他 【名】 （Way）韦（人名）,way of: 方式 | in this way: 这样；用这种方法 | best way: 最佳方法
find,/ faɪnd /,to discover something by looking for it,v. 找到，找回；发现，发觉 n. 被发现的人，发现物（尤指有价值的人或物）；发现狐狸 其他 【名】 （Find）（丹）芬（人名）,find oneself: 自我感觉；发现自己处于某种状态；发现自己的能力 | find out: v. 找出，查明；发现，揭发 | try to find: 寻求；寻找
over,/ ˈoʊvər /,above; across; more than; on the other side,adv. 向下，倒下；翻过，翻转 prep. 盖在……上面；悬在……上面 n. （板球）一轮投球 adj. 结束的；剩下的 v. 越过 其他 【名】 （Over）（美、英、德）奥韦尔（人名）,all over: 到处，遍及；浑身；全部结束 | over there: adv. 在那里 | over and over: 反复；再三
any,/ ˈeni /,one (thing) of many; some (thing),det. 任何的，任一的；一点，些许 pron. 任何一个；任何数量，任一数额 adv. 一点，丝毫；<美，非正式>压根儿 adj. 任何的，任一的；一点，一些 其他 【名】 （Any）（美、俄、法、墨、巴）阿尼（人名）,
after,/ ˈæftər /,"later than another time, or behind something",prep. 在……之后；紧接着 conj. 在……以后 adv. 后来，以后 adj. <旧>后来的，以后的；靠近船尾的,after all: 毕竟；终究 | go after: 追求，追逐 | ever after: 从此以后一直
day,/ deɪ /,a period of 24 hours,n. 一天；白昼，白天 adj. 白昼的，日间的；（人）日间工作的，上白班的 其他 【名】 （Day）（英、法、西）戴，（越）岱，（阿拉伯、土）达伊（人名）,every day: 每天；每个白天 | one day: （将来）有一天；总有一天；（过去）某一天 | all day: 整天
where,/ wer /,word you use to ask the location of something,adv. 在哪里 pron. 哪里 conj. 在……的地方 n. 地点,where it is: [口]问题的关键所在；实际情况
thing,/ θɪŋ /,something you cannot remember the name of,n. 东西，物；（无生命的）物体，物件,one thing: 一件事；有件事 | good thing: 好东西，好事情；美好的事 | first thing: 第一件事；一大早；最重要的事情
most,/ moʊst /,nearly all of something,"det. （数量上）最多，最大（ much, a lot of, many 的最高级）；大多数 pron. （数量上）最多，最大（ much, a lot of, many 的最高级）；大多数 adv. 最；（程度上）最大 adj. 大多数的；最大程度的，最大数量的 其他 【名】 【名】（Most）人名；（德、俄、法、芬、捷、英）莫斯特",most important: 最重要的；首要的；最关键的 | most of: 大部分，大多数的；绝大多数 | most people: 多数人
should,/ ʃʊd; ʃəd /,used to indicate what is proper or reasonable,v. （用于纠正别人）应该；（用于建议）该，可以,should be: 应该是 | should have: 应该有；本应该… | what should i do: 我该怎么办；我应该做些什么
need,/ niːd /,to be unable to manage without something; require,v. 需要；（表示应该或不得不做）有必要 n. 需要，必须； 特别需要，迫切要求 aux. 必要（用于劝告或建议）,in need: 在危难中；在穷困中的 | need for: 对……的需要；需要…… | in need of: 需要…时
much,/ mʌtʃ /,a lot; large amount; a high degree of,det. 许多 pron. 许多；优秀的事物 adv. 非常；<非正式>用在否定句末表示相反的意思 其他 【名】 【名】（Much）人名；（德）穆赫,so much: 这么；非常；达到这种程度 | much more: 更加；多得多 | as much: 也；同样多的
right,/ raɪt /,on side where the hand that most people write with,adj. 符合道德的，正当的；正确的，真实的 v. 纠正，矫正；补救，扭转 n. 正当，公正；正当的要求，权利 adv. （地方、位置或时间）正好，就在；直接地，径直地 int. 好的，对（用于表示明白或同意某人的话）；好（用于引起注意） 其他 【名】 （Right）（英）赖特（人名）,right now: 就是现在，马上 | all right: 好；顺利；正确的 | property right: 产权
how,/ haʊ /,in what way something happens or is done,adv. 怎样，如何；（指状况、情况）好否，怎么样 conj. 怎样，如何；以任何方式，无论用什么方法 n. 方式，方法 其他 【名】 （How）（英）豪（人名）,and how: 正确；（美）非常 | how do: 如何做 | how to do: 如何做；怎样做
back,/ bæk /,behind; to the rear; previous ,n. 后面，后部；背部 adj. 后面的，位于后部的；偏远的，偏僻的 adv. 回原处，恢复原状；回报，回复 v. （使）后退，倒退；支持，资助 其他 【名】 （Back）（美）巴克（人名）,go back: 回去；追溯 | back in: [体育]后内刃 | back of: 在…后面；在…背后
mean,/ miːn /,to have a particular meaning or value,v. 意味着；表示……的意思，作……的解释 adj. 吝啬的，小气的；不善良的，刻薄的 n. 中庸，折衷；平均数，中数 其他 【名】 （Mean）（柬）棉（人名）,in the mean: 当其时；同时；在此期间 | mean time: n. 平均时间（平均太阳时） | mean square: 均方；均方差；均方值
even,/ ˈiːv(ə)n /,as well; too,adj. 平坦的，水平的；平静的，平和的 adv. 甚至，即使；更加，愈加 v. 使相等，使平均；变平坦 n. <文>傍晚，晚上 其他 【名】 （Even）（美、挪）埃旺（人名）,and even: 乃至 | even if: 即使；虽然 | even more: 更多地，更多的
may,/ meɪ /,used to talk about what is possible,aux. 可能，也许（表示某情况是可能的）；可以（征求同意或表示允许） n. 山楂花；五月（May）,may be: 也许，可能 | may have: +过去分词 | in may: 在五月
here,/ hɪr /,"in, at, or to this position or place",adv. 在这里；此时 int. 嘿！；喂！ n. 这里 n. （Here）人名；（罗）赫尔施,come here: 来这里 | click here: 点击这里，点击此处；单击此处 | from here: 由此处，从这儿
many,/ ˈmeni /,used to refer to a large number of things,det. 许多；（与单数名词及动词连用）许多，大量 pron. 许多；许多人 adj. 许多的 n. 大多数人（the many） adv. 多 其他 【名】 （Many）（美、法、加、印）马尼（人名）,so many: 那么多的 | many people: 许多人；很多人；好多人 | as many: 一样多
such,/ sʌtʃ /,"so like, or similar",det. 如此的，这等的；如此（……以致） pron. 这种人（或事物），这类的；（上文提到的）那样的情况，那件事 adv. 这么，如此（用于加强叙述语气）；如此程度 其他 【名】 （Such）（英）萨奇，（德）祖赫（人名）,such as: 比如；诸如 | and such: 等等；诸如此类 | as such: 同样地；本身；就其本身而论
last,/ læst /,the one before,adj. 最后的；最近的，上一个的 v. 持续；持久 n. 鞋楦；仅剩下的部分（或事项） pron. 最近发生的事情；最后的人或事物 adv. 最近，上次；最后 其他 【名】 （Last）（美、德）拉斯特（人名）,at last: 最后；终于 | last year: 去年 | last week: 上周，上星期
child,/ tʃaɪld /,"a very young person, between about 2 and 15",n. 儿童，小孩；子女,with child: 怀孕 | child care: 儿童保育 | only child: 独生子女
tell,/ tel /,to say or communicate information to someone,v. 告诉，告知；说，讲述 n. （尤作纸牌用语）（泄露试图作弊的）不经意动作；（中东）台形（土墩）遗址（由远古人村落遗迹堆积而成的） 其他 【名】 （Tell）泰尔（人名）,can tell: 能感觉到；能看出来 | tell me about: 告诉我关于… | tell the truth: 说实话
really,/ ˈriːəli /,very,adv. 真正地，事实上；确实的，的确（用于加强语气） int. 真的（用来表示兴趣、惊奇或疑惑）；真是的！（用于表示生气或不赞成）,really something: 真了不起 | really and truly: 真正地，千真万确地
call,/ kɔːl /,to phone someone,v. 给……命名，称呼；认为……是，把……看作 n. 打电话，通话；喊叫，呼叫 其他 【名】 （Call）（瑞典、罗）卡尔，（英）考尔（人名）,call for: 要求；需要；提倡；邀请；为…叫喊 | phone call: 电话 | call on: 访问，拜访；号召，请求
before,/ bɪˈfɔːr /,at a time earlier than the present; previously,prep. （时间上）在……之前，早于；在（某个钟点）之前 conj. 在……以前；到……为止 adv. 以前，过去；在（某时间或某事）以前,before and after: 前后，之前之后 | than before: 比以前 | as before: 如以前
company,/ ˈkʌmpəni /,a business that sells things or provides services,n. 公司；陪伴，同伴 v. <古>结交，交往；<古>陪伴 其他 【名】 （Company）（美、瑞）孔帕尼（人名）,limited company: 有限公司；（英）股份有限公司（等于limited-liability company） | in company: 一起；当众 | company with: 奉陪；与…一起
through,/ θruː /,from one end or side of something to the other end or side,prep. 穿过，从一端到另一端；透过（玻璃、窗户等） adv. 从一端到另一端；完全地，彻底地，十足地 adj. 完成的，结束的；直达的，直通的，中途不停的,go through: 参加；经受；仔细检查；被通过 | all through: 一直；始终 | through with: 完成
down,/ daʊn /,going from a higher position to a lower position,adv. 朝下，向下；（坐）下，（躺）下 adj. 在低处的，在下方的；向下的 n. 羽绒；绒毛，软毛，汗毛 prep. 向下，朝下；沿着，顺 v. 使掉落；喝下，吃下 其他 【名】 （Down）（美）唐（人名）,down on: 突然意识到 | go down: 下降；平静下来；传下去；被接受 | down with: 打倒；把…拿下
